102,99,100,4
101,100,99,3
101,99,103,5
102,99,100,2
103,103,100,5
102,101,98,2
99,102,104,4
99,103,102,2
96,100,100,4
97,101,101,2
98,104,100,3
98,105,101,4
97,99,104,3
104,96,101,3
101,98,95,3
103,102,105,6
98,97,96,6
96,101,97,2
105,98,96,3
96,100,105,4
105,99,105,6
101,94,98,6
100,103,105,8
103,106,102,2
102,107,99,6
104,98,94,4
95,97,103,3
98,97,106,6
107,101,104,5
105,105,104,4
104,95,100,8
97,101,106,2
102,102,93,3
107,96,99,4
99,106,96,2
97,94,100,2
98,102,106,8
102,97,93,4
106,106,98,4
107,105,99,3
102,95,106,6
105,107,98,5
99,106,102,9
104,94,104,3
98,101,108,5
96,94,101,2
107,99,95,6
107,96,97,6
100,106,94,3
97,95,105,2
109,101,102,4
105,105,105,7
97,108,101,5
95,94,100,3
95,98,106,6
107,103,95,3
108,98,100,8
97,105,94,6
98,107,96,2
94,106,100,4
92,102,101,5
92,100,99,3
104,101,92,6
106,99,107,6
107,102,106,3
100,99,109,4
106,101,106,8
98,109,100,5
103,108,96,3
94,95,102,2
105,101,108,3
107,99,106,2
105,93,98,2
97,107,105,3
109,103,97,4
109,97,102,3
92,103,99,3
99,93,106,4
102,108,95,3
94,103,94,5
97,97,92,5
108,95,97,5
107,99,93,4
107,102,107,3
98,96,108,2
93,102,96,1
97,104,92,3
101,110,100,3
93,98,96,1
100,110,101,3
105,102,106,10
104,92,98,1
104,103,91,4
96,107,106,5
92,102,104,7
107,94,105,4
107,104,93,5
100,103,94,11
95,102,108,7
98,110,98,4
102,109,95,6
100,90,101,4
100,103,91,1
100,104,93,10
105,94,107,3
98,98,110,4
103,97,93,10
107,93,96,5
92,105,98,2
102,107,92,4
109,94,99,3
110,103,98,1
103,108,93,5
104,99,90,5
93,106,105,4
103,110,96,5
94,92,98,4
100,93,108,6
97,110,97,5
105,91,98,2
109,107,98,4
91,105,100,3
111,98,97,4
98,95,91,3
99,107,92,7
108,103,108,4
102,90,103,7
104,94,107,9
95,109,104,6
100,90,96,6
92,95,96,2
100,90,104,2
105,109,96,8
106,92,104,1
96,108,107,5
111,104,97,5
106,107,107,7
105,108,93,3
101,97,90,8
93,104,93,2
102,111,104,5
93,92,102,3
97,104,110,7
90,97,97,4
95,100,105,12
104,101,89,4
91,106,101,2
110,98,106,2
102,103,111,7
101,93,91,4
99,97,89,5
105,98,110,1
104,89,100,4
106,101,90,7
112,100,97,3
92,107,96,3
